ID;NOME_DOCUMENTO;EMISSOR;OBJETIVO;CATEGORIA;QUEM_PREENCHE;EVENTO_DISPARADOR;UNICO_OU_RECORRENTE;FORMATO;CAMPOS (nome|tipo|obrigatorio , separados por virgula);QUEM_ASSINA;ASSINATURA_FORTE;APARECE_AUDITORIA;OBSERVACOES;FOTO_REFERENCIA
1;Prontuario (capa);Institucional;Capa da pasta fisica do paciente: identifica o prontuario e registra entrada/saida e convenio;Administrativo;Administrativo/Coordenacao [CONFIRMAR];Admissao;Unico por paciente;folha_unica;"nome|texto_curto|sim, data_acolhimento|data|sim, convenio|texto_curto|nao, acolhimento_convenio|texto_curto|nao, data_desligamento|data|nao";Ninguem (e capa);Nao;Nao (organizacao interna);NAO DEVE VIRAR TIPO_DOCUMENTO - sao atributos do PACIENTE. Confirma que "Prontuario" e o conjunto, nao um documento. Pode virar folha de rosto na exportacao do prontuario completo;01-prontuario-capa.jpg
2;Ficha de Acolhimento;Institucional;Declaracao de internacao voluntaria + cadastro completo do acolhido e do responsavel; base de todo o prontuario;Administrativo;Administrativo/Coordenacao;Admissao;Unico por paciente;folha_unica;"nome|texto_curto|sim, cpf|texto_curto|nao, rg|texto_curto|nao, data_nascimento|data|nao, nacionalidade|texto_curto|nao, naturalidade|texto_curto|nao, municipio_naturalidade|texto_curto|nao, nome_pai|texto_curto|nao, nome_mae|texto_curto|nao, escolaridade|texto_curto|nao, profissao|texto_curto|nao, cor|texto_curto|nao, estado_civil|texto_curto|nao, filhos|selecao_unica|nao, endereco|texto_curto|nao, numero|texto_curto|nao, bairro|texto_curto|nao, municipio|texto_curto|nao, estado|texto_curto|nao, tipos_dependencia|selecao_multipla|nao, primeira_droga_licita|texto_curto|nao, primeira_droga_licita_idade|numero|nao, primeira_droga_ilicita|texto_curto|nao, primeira_droga_ilicita_idade|numero|nao, responsavel_nome|texto_curto|nao (repetivel), responsavel_grau_parentesco|texto_curto|nao, responsavel_cpf|texto_curto|nao, responsavel_rg|texto_curto|nao, responsavel_endereco|texto_curto|nao, responsavel_contato|texto_curto|nao, data|data|sim";Nenhuma linha de assinatura no papel [CONFIRMAR];Nao;Sim (provavel) [CONFIRMAR];Divergencias com o prototipo: papel NAO tem apelido/data_acolhimento/data_desligamento/convenio; papel TEM nacionalidade, cor, filhos, municipio, numero, bairro, estado. Lista de dependencias bate exatamente com o prototipo;02-ficha-acolhimento.jpg
3;Termo de Acolhimento;Institucional;Registrar ciencia da gratuidade do tratamento, concordancia com as normas, e inventariar os pertences que entraram com o acolhido;Juridico-institucional;Monitor/Administrativo;Admissao;Unico por paciente;folha_unica;"lista_pertences|texto_longo|nao, data|data|sim";Acolhido + Responsavel pelo Acolhido + Monitor Responsavel;A confirmar;Sim (provavel) [CONFIRMAR];TRES assinantes - o prototipo modela so 2 (paciente + responsavel). Monitor Responsavel e um terceiro papel;03-termo-acolhimento.jpg
4;Termo de Compromisso ao Patrimonio + Termo de Responsabilidade ao Acolhimento + Direito/Uso de Imagem;Institucional;Tres termos distintos impressos na mesma folha, com dois assinantes diferentes;Juridico-institucional;Ninguem (texto fixo, so assina);Admissao;Unico por paciente;folha_unica;"autorizacao_uso_imagem|selecao_unica|sim, data|data|sim";Responsavel (bloco Responsabilidade) + Acolhido (bloco Uso de Imagem);A confirmar;Sim (provavel) [CONFIRMAR];RECOMENDACAO: separar em 3 TIPO_DOCUMENTO no sistema (assinantes e naturezas diferentes; uso de imagem pode ser negado sem invalidar os outros). [DECISAO DO TIME];04-termos-patrimonio-responsabilidade-imagem.jpg
5;Regimento Interno;Institucional;Conjunto de 30 regras da instituicao, entregue ao residente na admissao;Juridico-institucional;Ninguem (texto fixo integral);Admissao;Unico por paciente;folha_unica;(nenhum campo preenchivel);Sem linha de assinatura na folha fotografada [CONFIRMAR];Nao;Sim (provavel - regimento e item classico de fiscalizacao de CT) [CONFIRMAR];Regra 9 proibe celular ao residente = CONFIRMACAO DOCUMENTAL de que GOV.BR e inviavel para o paciente assinar. Regras 5/8/15/18 citam documentos que NAO estao no lote. Modelar como texto fixo versionado no nivel da instituicao;05-regimento-interno.jpg
6;Avaliacao de Enfermagem;Institucional;Exame fisico completo de admissao (cefalo-caudal) feito pela enfermagem;Enfermagem;Enfermeiro(a);Admissao [CONFIRMAR se periodica];Unico por paciente [CONFIRMAR];folha_unica (2 paginas);"nome|texto_curto|sim, temperatura|texto_curto|nao, pulso|texto_curto|nao, respiracao|texto_curto|nao, pressao_arterial|texto_curto|nao, peso|texto_curto|nao, altura|texto_curto|nao, quantidade_internacoes_anteriores|numero|nao, usa_medicacao_psiquiatrica|selecao_unica|nao, qual_medicacao_psiquiatrica|texto_curto|nao, teve_dst_qual|texto_curto|nao, genitais_regiao_perineal|texto_longo|nao, cabeca_couro_cabeludo|texto_longo|nao, cabeca_orelhas_ouvido|texto_longo|nao, cabeca_olhos_palpebras|texto_longo|nao, cabeca_nariz|texto_longo|nao, boca_mucosa|texto_longo|nao, pescoco_garganta|texto_longo|nao, membro_superior_inferior|texto_longo|nao, abdomem|texto_longo|nao, eliminacoes_secrecoes|texto_longo|nao, malformacoes|texto_longo|nao, traumatismo|texto_longo|nao, nivel_consciencia|selecao_multipla|nao, postura_marcha|selecao_multipla|nao, data|data|sim";Nenhuma linha de assinatura no papel [CONFIRMAR];A confirmar (registro de enfermagem, nao de psiquiatra);Sim (provavel) [CONFIRMAR];Cada campo tem texto de apoio entre parenteses no papel = sugere coluna TEXTO_AJUDA em CAMPO_TIPO_DOCUMENTO. nivel_consciencia tem 2 eixos (consciencia + orientacao) - melhor virar 2 campos selecao_unica;06-avaliacao-enfermagem-p1.jpg / 06-avaliacao-enfermagem-p2.jpg
7;Evolucao de Enfermagem;Institucional;Registro cronologico continuo da evolucao do paciente pela enfermagem;Enfermagem;Enfermeiro(a);Periodico ou sob demanda;Recorrente;folha_tabela;"CABECALHO: nome|texto_curto|sim || POR LINHA: data|data|sim, evolucao|texto_longo|sim, assinatura_enfermeiro|assinatura|sim";Enfermeiro(a) - UMA ASSINATURA POR LINHA;A confirmar [item CFM];Sim (provavel) [CONFIRMAR];FOLHA-TABELA ACUMULATIVA (~45 linhas por folha). Cada linha deve virar registro proprio no banco; folha e visao agregada so na geracao do PDF;07-evolucao-enfermagem.jpg
8;Evolucao Geral;Institucional;Registro geral da equipe tecnica (coordenador, psicologa e monitores) sobre a evolucao do acolhido;Clinico;Equipe tecnica (coordenador/psicologa/monitor);Periodico ou sob demanda;Recorrente;folha_unica;"acolhido|texto_curto|sim, registro_evolucao|texto_longo|sim";Nenhuma linha de assinatura nem data no papel [CONFIRMAR];Nao;Sim (provavel) [CONFIRMAR];Unico documento do lote com rodape institucional completo - usar como referencia para o InstitutionalLayout. Bate com o prototipo;08-evolucao-geral.jpg
9;Controle de Saida de Pacientes;Institucional;Registrar e autorizar cada saida temporaria do acolhido, com motivo, horarios e assinaturas;Administrativo;Monitor/Enfermagem [CONFIRMAR];Cada saida temporaria;Recorrente;folha_tabela;"CABECALHO: nome_completo|texto_curto|sim, data_acolhimento|data|sim || POR LINHA: data_saida|data|sim, data_retorno|data|nao, hora_saida|texto_curto|sim, hora_retorno|texto_curto|nao, motivo_saida|texto_curto|sim, assinatura_residente|assinatura|sim, assinatura_responsavel|assinatura|sim";Residente + Responsavel - POR LINHA;A confirmar;Sim (provavel - item classico de fiscalizacao) [CONFIRMAR];DIVERGENCIA: o prototipo modela 1 documento por saida; o papel e 1 folha por paciente com N saidas (~28 linhas). Ordem das colunas no papel e DATA SAIDA/DATA RETORNO/HORA SAIDA/HORA RETORNO;09-controle-saida.jpg
10;Atividades Praticas (laborterapia);Institucional;Registrar em quais atividades praticas da casa o acolhido atua e em qual funcao;Administrativo;Monitor/Coordenacao [CONFIRMAR];[CONFIRMAR - admissao? mensal? a cada mudanca de escala?];[CONFIRMAR];matriz (19 atividades x 4 funcoes);"ATIVIDADES: Cozinha, Horta, Portao, Lavanderia, Quarto 6/7, Casarao, Rastel, Animais, Almoxarife, Manutencao, Lenha, Capela, Carpir, Rocar, Rampa, Recolhedor, Jardim, Pintura, Outros || FUNCOES: Cozinheiro, Auxiliar, Panela, Padaria";Ninguem (nenhuma linha no papel);Nao;[CONFIRMAR - laborterapia e item avaliado em CT];PERGUNTA PRIORITARIA: nao ha campo de nome na folha - pode ser escala COLETIVA da casa, e nao documento de prontuario. Se for, sai do escopo do modulo de documentos. Matriz e semanticamente estranha (funcoes de cozinha aplicadas a 19 atividades);10-atividades-praticas.jpg
